official_store,name,reviews_rating_number,reviews_amount,source,date,old_price,new_price
Loi Brasil,Modulo Taramps Ts400x4 Amplificador 400w Digital 400rms 4 Canais Potencia T400 Ts 400 2 Ohms,4.7,9365,https://lista.mercadolivre.com.br/acessorios-veiculos/som-automotivo/_Loja_all_NoIndex_True?original_category_landing=true#applied_filter_id%3Dofficial_store%26applied_filter_name%3DLojas+oficiais%26applied_filter_order%3D9%26applied_value_id%3Dall%26applied_value_name%3DSomente+lojas+oficiais%26applied_value_order%3D1%26applied_value_results%3D320372%26is_custom%3Dfalse,2024-07-12 08:43:08.759350,208.88,185.9
At4u,Auto Radio Roadstar 7 Cor Mp3 Player Fm Bluetooth Muda Pasta,4.5,4577,https://lista.mercadolivre.com.br/acessorios-veiculos/som-automotivo/_Loja_all_NoIndex_True?original_category_landing=true#applied_filter_id%3Dofficial_store%26applied_filter_name%3DLojas+oficiais%26applied_filter_order%3D9%26applied_value_id%3Dall%26applied_value_name%3DSomente+lojas+oficiais%26applied_value_order%3D1%26applied_value_results%3D320372%26is_custom%3Dfalse,2024-07-12 08:43:08.759350,124.05,12.0
Quality SP,Conversor Fio Para Rca Remoto Slim 12v Jfa Automotivo Cd Dvd,4.4,578,https://lista.mercadolivre.com.br/acessorios-veiculos/som-automotivo/_Loja_all_NoIndex_True?original_category_landing=true#applied_filter_id%3Dofficial_store%26applied_filter_name%3DLojas+oficiais%26applied_filter_order%3D9%26applied_value_id%3Dall%26applied_value_name%3DSomente+lojas+oficiais%26applied_value_order%3D1%26applied_value_results%3D320372%26is_custom%3Dfalse,2024-07-12 08:43:08.759350,39.98,36.38
Eletroking,Caixa Automotiva Sw68a-ms 100w Selada Sub8 Ativa 8pol Slim,4.7,73,https://lista.mercadolivre.com.br/acessorios-veiculos/som-automotivo/_Loja_all_NoIndex_True?original_category_landing=true#applied_filter_id%3Dofficial_store%26applied_filter_name%3DLojas+oficiais%26applied_filter_order%3D9%26applied_value_id%3Dall%26applied_value_name%3DSomente+lojas+oficiais%26applied_value_order%3D1%26applied_value_results%3D320372%26is_custom%3Dfalse,2024-07-12 08:43:08.759350,1.9489999999999998,944.91
,Central Multimídia Mp5 Ligth 7 Polegada E-tech 200w Ligth Cor Preto E-Tech,4.0,11,https://lista.mercadolivre.com.br/acessorios-veiculos/som-automotivo/_Loja_all_NoIndex_True?original_category_landing=true#applied_filter_id%3Dofficial_store%26applied_filter_name%3DLojas+oficiais%26applied_filter_order%3D9%26applied_value_id%3Dall%26applied_value_name%3DSomente+lojas+oficiais%26applied_value_order%3D1%26applied_value_results%3D320372%26is_custom%3Dfalse,2024-07-12 08:43:08.759350,769.9,74.64
We Market,Módulo Amplificador Barra Stetsom Ex3000 4 Ohm Black Edition Cor Preto,4.7,1314,https://lista.mercadolivre.com.br/acessorios-veiculos/som-automotivo/_Loja_all_NoIndex_True?original_category_landing=true#applied_filter_id%3Dofficial_store%26applied_filter_name%3DLojas+oficiais%26applied_filter_order%3D9%26applied_value_id%3Dall%26applied_value_name%3DSomente+lojas+oficiais%26applied_value_order%3D1%26applied_value_results%3D320372%26is_custom%3Dfalse,2024-07-12 08:43:08.759350,699.11,622.31
Auto Equip,"Som automotivo First Option 8850 com USB, bluetooth e leitor de cartão SD",4.4,5013,https://lista.mercadolivre.com.br/acessorios-veiculos/som-automotivo/_Loja_all_NoIndex_True?original_category_landing=true#applied_filter_id%3Dofficial_store%26applied_filter_name%3DLojas+oficiais%26applied_filter_order%3D9%26applied_value_id%3Dall%26applied_value_name%3DSomente+lojas+oficiais%26applied_value_order%3D1%26applied_value_results%3D320372%26is_custom%3Dfalse,2024-07-12 08:43:08.759350,57.9,52.11
Auto Equip,Módulo Soundigital Sd400.4 Evo6 4 Canais Bridge 4 Ohms Cor Cinza-escuro,4.8,793,https://lista.mercadolivre.com.br/acessorios-veiculos/som-automotivo/_Loja_all_NoIndex_True?original_category_landing=true#applied_filter_id%3Dofficial_store%26applied_filter_name%3DLojas+oficiais%26applied_filter_order%3D9%26applied_value_id%3Dall%26applied_value_name%3DSomente+lojas+oficiais%26applied_value_order%3D1%26applied_value_results%3D320372%26is_custom%3Dfalse,2024-07-12 08:43:08.759350,219.9,195.71
Helplo,Central Multimídia 1 Din 7 Polegadas Android Gps 2gb Carplay Cor Preto,4.5,43,https://lista.mercadolivre.com.br/acessorios-veiculos/som-automotivo/_Loja_all_NoIndex_True?original_category_landing=true#applied_filter_id%3Dofficial_store%26applied_filter_name%3DLojas+oficiais%26applied_filter_order%3D9%26applied_value_id%3Dall%26applied_value_name%3DSomente+lojas+oficiais%26applied_value_order%3D1%26applied_value_results%3D320372%26is_custom%3Dfalse,2024-07-12 08:43:08.759350,567.5,475.0
General Car,Caixa Som 1 Alto Falante 12 Pol Selada Preto 30 Litros,0.0,0,https://lista.mercadolivre.com.br/acessorios-veiculos/som-automotivo/_Loja_all_NoIndex_True?original_category_landing=true#applied_filter_id%3Dofficial_store%26applied_filter_name%3DLojas+oficiais%26applied_filter_order%3D9%26applied_value_id%3Dall%26applied_value_name%3DSomente+lojas+oficiais%26applied_value_order%3D1%26applied_value_results%3D320372%26is_custom%3Dfalse,2024-07-12 08:43:08.759350,104.75,94.27
